0,1.000000000,0.000000000,0.010000000
10,0.900000000,0.666666667,0.010000000
20,0.800000000,1.037037037,0.010000000
30,0.700000000,1.242798354,0.010000000
40,0.600000000,1.357110197,0.010000000
50,0.500000000,1.420616776,0.010000000
60,0.400000000,1.455898209,0.010000000
70,0.300000000,1.475499005,0.010000000
80,0.200000000,1.486388336,0.010000000
90,0.100000000,1.492437964,0.010000000
100,-0.000000000,1.495798869,0.010000000
110,-0.100000000,1.497666038,0.010000000
120,-0.200000000,1.498703355,0.010000000
130,-0.300000000,1.499279641,0.010000000
140,-0.400000000,1.499599801,0.010000000
150,-0.500000000,1.499777667,0.010000000
160,-0.600000000,1.499876482,0.010000000
170,-0.700000000,1.499931379,0.010000000
180,-0.800000000,1.499961877,0.010000000
190,-0.900000000,1.499978821,0.010000000
200,-1.000000000,1.499988234,0.010000000
210,-1.100000000,1.499993463,0.010000000
220,-1.200000000,1.499996368,0.010000000
230,-1.300000000,1.499997982,0.010000000
240,-1.400000000,1.499998879,0.010000000
250,-1.500000000,1.499999377,0.010000000
260,-1.600000000,1.499999654,0.010000000
270,-1.700000000,1.499999808,0.010000000
280,-1.800000000,1.499999893,0.010000000
290,-1.900000000,1.499999941,0.010000000
300,-2.000000000,1.499999967,0.010000000
310,-2.100000000,1.499999982,0.010000000
320,-2.200000000,1.499999990,0.010000000
330,-2.300000000,1.499999994,0.010000000
340,-2.400000000,1.499999997,0.010000000
350,-2.500000000,1.499999998,0.010000000
360,-2.600000000,1.499999999,0.010000000
370,-2.700000000,1.499999999,0.010000000
380,-2.800000000,1.500000000,0.010000000
390,-2.900000000,1.500000000,0.010000000
400,-3.000000000,1.500000000,0.010000000
410,-3.100000000,1.500000000,0.010000000
420,-3.200000000,1.500000000,0.010000000
430,-3.300000000,1.500000000,0.010000000
440,-3.400000000,1.500000000,0.010000000
450,-3.500000000,1.500000000,0.010000000
460,-3.600000000,1.500000000,0.010000000
470,-3.700000000,1.500000000,0.010000000
480,-3.800000000,1.500000000,0.010000000
490,-3.900000000,1.500000000,0.010000000
500,-3.900000000,0.833333333,0.000000000
510,-3.900000000,0.462962963,0.000000000
520,-3.900000000,0.257201646,0.000000000
530,-3.900000000,0.142889803,0.000000000
540,-3.900000000,0.079383224,0.000000000
550,-3.900000000,0.044101791,0.000000000
560,-3.900000000,0.024500995,0.000000000
570,-3.900000000,0.013611664,0.000000000
580,-3.900000000,0.007562036,0.000000000
590,-3.900000000,0.004201131,0.000000000
600,-3.900000000,0.002333962,0.000000000
610,-3.900000000,0.001296645,0.000000000
620,-3.900000000,0.000720359,0.000000000
630,-3.900000000,0.000400199,0.000000000
640,-3.900000000,0.000222333,0.000000000
650,-3.900000000,0.000123518,0.000000000
660,-3.900000000,0.000068621,0.000000000
670,-3.900000000,0.000038123,0.000000000
680,-3.900000000,0.000021179,0.000000000
690,-3.900000000,0.000011766,0.000000000
700,-3.900000000,0.000006537,0.000000000
710,-3.900000000,0.000003632,0.000000000
720,-3.900000000,0.000002018,0.000000000
730,-3.900000000,0.000001121,0.000000000
740,-3.900000000,0.000000623,0.000000000
750,-3.900000000,0.000000346,0.000000000
760,-3.900000000,0.000000192,0.000000000
770,-3.900000000,0.000000107,0.000000000
780,-3.900000000,0.000000059,0.000000000
790,-3.900000000,0.000000033,0.000000000
800,-3.900000000,0.000000018,0.000000000
810,-3.900000000,0.000000010,0.000000000
820,-3.900000000,0.000000006,0.000000000
830,-3.900000000,0.000000003,0.000000000
840,-3.900000000,0.000000002,0.000000000
850,-3.900000000,0.000000001,0.000000000
860,-3.900000000,0.000000001,0.000000000
870,-3.900000000,0.000000000,0.000000000
880,-3.900000000,0.000000000,0.000000000
890,-3.900000000,0.000000000,0.000000000
900,-3.900000000,0.000000000,0.000000000
910,-3.900000000,0.000000000,0.000000000
920,-3.900000000,0.000000000,0.000000000
930,-3.900000000,0.000000000,0.000000000
940,-3.900000000,0.000000000,0.000000000
950,-3.900000000,0.000000000,0.000000000
960,-3.900000000,0.000000000,0.000000000
970,-3.900000000,0.000000000,0.000000000
980,-3.900000000,0.000000000,0.000000000
990,-3.900000000,0.000000000,0.000000000
1000,-4.000000000,0.666666667,0.010000000
1010,-4.100000000,1.037037037,0.010000000
1020,-4.200000000,1.242798354,0.010000000
1030,-4.300000000,1.357110197,0.010000000
1040,-4.400000000,1.420616776,0.010000000
1050,-4.500000000,1.455898209,0.010000000
1060,-4.600000000,1.475499005,0.010000000
1070,-4.700000000,1.486388336,0.010000000
1080,-4.800000000,1.492437964,0.010000000
1090,-4.900000000,1.495798869,0.010000000
1100,-5.000000000,1.497666038,0.010000000
1110,-5.100000000,1.498703355,0.010000000
1120,-5.200000000,1.499279641,0.010000000
1130,-5.300000000,1.499599801,0.010000000
1140,-5.400000000,1.499777667,0.010000000
1150,-5.500000000,1.499876482,0.010000000
1160,-5.600000000,1.499931379,0.010000000
1170,-5.700000000,1.499961877,0.010000000
1180,-5.800000000,1.499978821,0.010000000
1190,-5.900000000,1.499988234,0.010000000
1200,-6.000000000,1.499993463,0.010000000
1210,-6.100000000,1.499996368,0.010000000
1220,-6.200000000,1.499997982,0.010000000
1230,-6.300000000,1.499998879,0.010000000
1240,-6.400000000,1.499999377,0.010000000
1250,-6.500000000,1.499999654,0.010000000
1260,-6.600000000,1.499999808,0.010000000
1270,-6.700000000,1.499999893,0.010000000
1280,-6.800000000,1.499999941,0.010000000
1290,-6.900000000,1.499999967,0.010000000
1300,-7.000000000,1.499999982,0.010000000
1310,-7.100000000,1.499999990,0.010000000
